Overriding config with config/train_shakespeare_char_bs64.py:
# Experiment 4: Lower Context Length
# Change: context length block_size 264 -> 64
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-bs64'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'bs64'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 64         # CHANGED: baseline was 256

n_layer = 6              
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1450: loss 1.4501, time 33.00ms, mfu 2.18%
iter 1460: loss 1.4681, time 41.86ms, mfu 2.17%
iter 1470: loss 1.4679, time 41.43ms, mfu 2.16%
iter 1480: loss 1.4520, time 42.72ms, mfu 2.14%
iter 1490: loss 1.4755, time 37.91ms, mfu 2.16%
step 1500: train loss 1.4161, val loss 1.6149
saving checkpoint to out-shakespeare-bs64
iter 1500: loss 1.4798, time 6251.46ms, mfu 1.94%
iter 1510: loss 1.5049, time 41.75ms, mfu 1.95%
iter 1520: loss 1.5064, time 46.11ms, mfu 1.95%
iter 1530: loss 1.4741, time 32.85ms, mfu 2.01%
iter 1540: loss 1.4960, time 46.33ms, mfu 2.00%
iter 1550: loss 1.4710, time 44.73ms, mfu 1.99%
iter 1560: loss 1.4747, time 44.64ms, mfu 1.99%
iter 1570: loss 1.4554, time 47.41ms, mfu 1.97%
iter 1580: loss 1.4677, time 47.02ms, mfu 1.95%
iter 1590: loss 1.4766, time 45.20ms, mfu 1.95%
iter 1600: loss 1.4293, time 40.62ms, mfu 1.97%
iter 1610: loss 1.5218, time 41.75ms, mfu 1.98%
iter 1620: loss 1.4479, time 49.97ms, mfu 1.95%
iter 1630: loss 1.4752, time 44.42ms, mfu 1.95%
iter 1640: loss 1.4343, time 45.11ms, mfu 1.95%
iter 1650: loss 1.4637, time 37.22ms, mfu 1.98%
iter 1660: loss 1.4111, time 39.81ms, mfu 2.00%
iter 1670: loss 1.4389, time 48.87ms, mfu 1.98%
iter 1680: loss 1.5214, time 40.07ms, mfu 2.00%
iter 1690: loss 1.4877, time 43.02ms, mfu 2.00%
iter 1700: loss 1.4368, time 34.59ms, mfu 2.05%
iter 1710: loss 1.4853, time 46.86ms, mfu 2.02%
iter 1720: loss 1.3889, time 45.68ms, mfu 2.01%
iter 1730: loss 1.4063, time 42.33ms, mfu 2.01%
iter 1740: loss 1.4491, time 45.90ms, mfu 2.00%
step 1750: train loss 1.3819, val loss 1.5912
saving checkpoint to out-shakespeare-bs64
iter 1750: loss 1.4251, time 6029.07ms, mfu 1.80%
iter 1760: loss 1.4262, time 40.79ms, mfu 1.83%
iter 1770: loss 1.3822, time 45.48ms, mfu 1.84%
iter 1780: loss 1.4616, time 52.19ms, mfu 1.82%
iter 1790: loss 1.4163, time 30.12ms, mfu 1.92%
iter 1800: loss 1.4493, time 44.41ms, mfu 1.93%
iter 1810: loss 1.4193, time 39.27ms, mfu 1.95%
iter 1820: loss 1.4233, time 38.82ms, mfu 1.98%
iter 1830: loss 1.4434, time 37.45ms, mfu 2.01%
iter 1840: loss 1.4077, time 47.36ms, mfu 1.99%
iter 1850: loss 1.4457, time 43.44ms, mfu 1.99%
iter 1860: loss 1.4396, time 41.54ms, mfu 2.00%
iter 1870: loss 1.4390, time 44.95ms, mfu 1.99%
iter 1880: loss 1.4356, time 48.15ms, mfu 1.97%
iter 1890: loss 1.4531, time 36.42ms, mfu 2.01%
iter 1900: loss 1.4354, time 34.51ms, mfu 2.06%
iter 1910: loss 1.3974, time 40.66ms, mfu 2.07%
iter 1920: loss 1.4170, time 36.81ms, mfu 2.09%
iter 1930: loss 1.4258, time 44.98ms, mfu 2.08%
iter 1940: loss 1.4235, time 39.03ms, mfu 2.09%
iter 1950: loss 1.4187, time 40.72ms, mfu 2.09%
iter 1960: loss 1.3822, time 34.86ms, mfu 2.13%
iter 1970: loss 1.4036, time 29.88ms, mfu 2.21%
iter 1980: loss 1.4669, time 34.38ms, mfu 2.24%
iter 1990: loss 1.4025, time 37.06ms, mfu 2.24%
step 2000: train loss 1.3531, val loss 1.5610
saving checkpoint to out-shakespeare-bs64
iter 2000: loss 1.4094, time 5942.32ms, mfu 2.02%
iter 2010: loss 1.3953, time 27.59ms, mfu 2.13%
iter 2020: loss 1.4370, time 48.43ms, mfu 2.10%
iter 2030: loss 1.3884, time 47.47ms, mfu 2.07%
iter 2040: loss 1.4061, time 45.63ms, mfu 2.05%
iter 2050: loss 1.4330, time 50.31ms, mfu 2.02%
iter 2060: loss 1.3915, time 40.10ms, mfu 2.03%
iter 2070: loss 1.4174, time 34.85ms, mfu 2.07%
iter 2080: loss 1.4125, time 47.68ms, mfu 2.05%
iter 2090: loss 1.4424, time 35.43ms, mfu 2.09%
iter 2100: loss 1.3697, time 36.50ms, mfu 2.11%
iter 2110: loss 1.4196, time 39.96ms, mfu 2.12%
iter 2120: loss 1.3591, time 47.32ms, mfu 2.09%
iter 2130: loss 1.4044, time 33.19ms, mfu 2.14%
iter 2140: loss 1.4166, time 34.89ms, mfu 2.17%
iter 2150: loss 1.4141, time 33.37ms, mfu 2.21%
iter 2160: loss 1.3718, time 38.84ms, mfu 2.21%
iter 2170: loss 1.3727, time 32.16ms, mfu 2.26%
iter 2180: loss 1.3646, time 44.94ms, mfu 2.23%
iter 2190: loss 1.3418, time 32.85ms, mfu 2.27%
iter 2200: loss 1.4068, time 42.04ms, mfu 2.24%
iter 2210: loss 1.4027, time 34.96ms, mfu 2.27%
iter 2220: loss 1.4008, time 39.96ms, mfu 2.26%
iter 2230: loss 1.4419, time 40.54ms, mfu 2.24%
iter 2240: loss 1.3497, time 36.50ms, mfu 2.25%
step 2250: train loss 1.3261, val loss 1.5491
saving checkpoint to out-shakespeare-bs64
iter 2250: loss 1.3831, time 5924.51ms, mfu 2.03%
iter 2260: loss 1.3679, time 38.20ms, mfu 2.05%
iter 2270: loss 1.4495, time 40.45ms, mfu 2.06%
iter 2280: loss 1.3736, time 48.68ms, mfu 2.03%
iter 2290: loss 1.3995, time 36.59ms, mfu 2.06%
iter 2300: loss 1.3853, time 50.01ms, mfu 2.03%
iter 2310: loss 1.3831, time 38.41ms, mfu 2.05%
iter 2320: loss 1.3617, time 51.31ms, mfu 2.01%
iter 2330: loss 1.4162, time 39.85ms, mfu 2.03%
iter 2340: loss 1.3517, time 45.46ms, mfu 2.02%
iter 2350: loss 1.3760, time 40.29ms, mfu 2.03%
iter 2360: loss 1.3910, time 48.97ms, mfu 2.00%
iter 2370: loss 1.3472, time 42.78ms, mfu 2.00%
iter 2380: loss 1.3913, time 38.65ms, mfu 2.03%
iter 2390: loss 1.3686, time 43.48ms, mfu 2.02%
iter 2400: loss 1.3207, time 40.37ms, mfu 2.03%
iter 2410: loss 1.3613, time 43.03ms, mfu 2.03%
