Overriding config with config/train_shakespeare_char_do0.0.py:
# Experiment 3: Low Dropout
# Change: dropout 0.2 -> 0.0 (remove dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do0.0'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do0.0'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\creep\.vscode\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1000: loss 1.0984, time 149960.01ms, mfu 0.34%
iter 1010: loss 1.0929, time 970.74ms, mfu 0.35%
iter 1020: loss 1.0695, time 985.22ms, mfu 0.35%
iter 1030: loss 1.0867, time 973.10ms, mfu 0.35%
iter 1040: loss 1.0957, time 974.18ms, mfu 0.36%
iter 1050: loss 1.0480, time 973.11ms, mfu 0.36%
iter 1060: loss 1.0665, time 975.98ms, mfu 0.36%
iter 1070: loss 1.0805, time 976.04ms, mfu 0.36%
iter 1080: loss 1.0781, time 984.05ms, mfu 0.36%
iter 1090: loss 1.1024, time 976.23ms, mfu 0.37%
iter 1100: loss 1.0300, time 983.26ms, mfu 0.37%
iter 1110: loss 1.0220, time 1009.47ms, mfu 0.37%
iter 1120: loss 1.0211, time 974.69ms, mfu 0.37%
iter 1130: loss 1.0271, time 977.92ms, mfu 0.37%
iter 1140: loss 1.0140, time 978.01ms, mfu 0.37%
iter 1150: loss 1.0481, time 976.97ms, mfu 0.37%
iter 1160: loss 1.0056, time 971.40ms, mfu 0.37%
iter 1170: loss 0.9908, time 976.82ms, mfu 0.37%
iter 1180: loss 1.0018, time 963.84ms, mfu 0.38%
iter 1190: loss 0.9615, time 978.41ms, mfu 0.38%
iter 1200: loss 1.0004, time 974.07ms, mfu 0.38%
iter 1210: loss 0.9490, time 973.07ms, mfu 0.38%
iter 1220: loss 0.9877, time 975.80ms, mfu 0.38%
iter 1230: loss 0.9580, time 974.71ms, mfu 0.38%
iter 1240: loss 0.9762, time 974.20ms, mfu 0.38%
step 1250: train loss 0.9587, val loss 1.6453
iter 1250: loss 0.9594, time 150002.88ms, mfu 0.34%
iter 1260: loss 0.9591, time 990.89ms, mfu 0.34%
iter 1270: loss 0.9473, time 992.80ms, mfu 0.35%
iter 1280: loss 0.9247, time 993.96ms, mfu 0.35%
iter 1290: loss 0.9413, time 979.24ms, mfu 0.35%
iter 1300: loss 0.9482, time 975.93ms, mfu 0.36%
iter 1310: loss 0.8822, time 978.88ms, mfu 0.36%
iter 1320: loss 0.9330, time 989.96ms, mfu 0.36%
iter 1330: loss 0.8827, time 974.43ms, mfu 0.36%
iter 1340: loss 0.9159, time 977.01ms, mfu 0.36%
iter 1350: loss 0.8945, time 988.51ms, mfu 0.37%
iter 1360: loss 0.8877, time 980.28ms, mfu 0.37%
iter 1370: loss 0.8782, time 974.09ms, mfu 0.37%
iter 1380: loss 0.8825, time 975.29ms, mfu 0.37%
iter 1390: loss 0.8458, time 975.93ms, mfu 0.37%
iter 1400: loss 0.8420, time 977.40ms, mfu 0.37%
iter 1410: loss 0.8621, time 970.69ms, mfu 0.37%
iter 1420: loss 0.8582, time 973.70ms, mfu 0.37%
iter 1430: loss 0.8333, time 992.08ms, mfu 0.37%
iter 1440: loss 0.8238, time 976.96ms, mfu 0.38%
iter 1450: loss 0.7941, time 973.18ms, mfu 0.38%
iter 1460: loss 0.7858, time 980.57ms, mfu 0.38%
iter 1470: loss 0.7933, time 977.94ms, mfu 0.38%
iter 1480: loss 0.7469, time 967.10ms, mfu 0.38%
iter 1490: loss 0.7867, time 992.57ms, mfu 0.38%
step 1500: train loss 0.7730, val loss 1.8073
iter 1500: loss 0.7063, time 150726.51ms, mfu 0.34%
iter 1510: loss 0.7447, time 988.18ms, mfu 0.34%
