Overriding config with config/train_shakespeare_char_lr1e2.py:
# Experiment 1: High learning rate
# Change: learning_rate 1e-3 -> 1e-2 (10x increase)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr1e2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr1e2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda'
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1390: loss 1.7397, time 149.58ms, mfu 2.33%
iter 1400: loss 1.7311, time 160.45ms, mfu 2.33%
iter 1410: loss 1.7165, time 154.29ms, mfu 2.34%
iter 1420: loss 1.7360, time 162.16ms, mfu 2.34%
iter 1430: loss 1.7301, time 149.60ms, mfu 2.35%
iter 1440: loss 1.7531, time 159.38ms, mfu 2.35%
iter 1450: loss 1.7073, time 150.20ms, mfu 2.36%
iter 1460: loss 1.7316, time 155.93ms, mfu 2.37%
iter 1470: loss 1.7145, time 157.88ms, mfu 2.37%
iter 1480: loss 1.7060, time 153.70ms, mfu 2.37%
iter 1490: loss 1.7192, time 148.88ms, mfu 2.38%
step 1500: train loss 1.6079, val loss 1.7979
saving checkpoint to out-shakespeare-lr1e2
iter 1500: loss 1.6931, time 20938.99ms, mfu 2.15%
iter 1510: loss 1.7481, time 174.36ms, mfu 2.15%
iter 1520: loss 1.7294, time 162.79ms, mfu 2.16%
iter 1530: loss 1.7578, time 156.02ms, mfu 2.18%
iter 1540: loss 1.6999, time 151.97ms, mfu 2.21%
iter 1550: loss 1.7321, time 159.06ms, mfu 2.22%
iter 1560: loss 1.7275, time 140.91ms, mfu 2.27%
iter 1570: loss 1.7392, time 153.62ms, mfu 2.28%
iter 1580: loss 1.7081, time 155.90ms, mfu 2.29%
iter 1590: loss 1.7073, time 144.37ms, mfu 2.32%
iter 1600: loss 1.6936, time 143.24ms, mfu 2.35%
iter 1610: loss 1.7261, time 155.06ms, mfu 2.35%
iter 1620: loss 1.6744, time 155.15ms, mfu 2.36%
iter 1630: loss 1.7202, time 155.63ms, mfu 2.36%
