Overriding config with config/train_shakespeare_char_md2.py:
# Experiment 4: Low Model Depth
# Change: model depth n_layer 6 -> 2
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-md2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'md2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 2              # CHANGED: baseline was 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
iter 1360: loss 1.4359, time 59.66ms, mfu 2.13%
iter 1370: loss 1.4432, time 61.28ms, mfu 2.12%
iter 1380: loss 1.4438, time 50.08ms, mfu 2.16%
iter 1390: loss 1.4384, time 56.59ms, mfu 2.16%
iter 1400: loss 1.4314, time 52.04ms, mfu 2.19%
iter 1410: loss 1.4159, time 48.39ms, mfu 2.23%
iter 1420: loss 1.4289, time 56.34ms, mfu 2.23%
iter 1430: loss 1.3902, time 42.56ms, mfu 2.30%
iter 1440: loss 1.4073, time 53.12ms, mfu 2.30%
iter 1450: loss 1.3948, time 53.65ms, mfu 2.30%
iter 1460: loss 1.4393, time 59.23ms, mfu 2.28%
iter 1470: loss 1.4303, time 50.05ms, mfu 2.30%
iter 1480: loss 1.4424, time 55.89ms, mfu 2.30%
iter 1490: loss 1.4170, time 52.61ms, mfu 2.30%
step 1500: train loss 1.2979, val loss 1.5555
saving checkpoint to out-shakespeare-md2
iter 1500: loss 1.3908, time 8125.18ms, mfu 2.08%
iter 1510: loss 1.4248, time 59.08ms, mfu 2.08%
iter 1520: loss 1.3943, time 53.99ms, mfu 2.10%
iter 1530: loss 1.4031, time 58.64ms, mfu 2.10%
iter 1540: loss 1.4171, time 61.42ms, mfu 2.10%
iter 1550: loss 1.3859, time 56.87ms, mfu 2.11%
iter 1560: loss 1.4082, time 68.29ms, mfu 2.08%
iter 1570: loss 1.3855, time 48.98ms, mfu 2.13%
iter 1580: loss 1.3991, time 61.13ms, mfu 2.12%
iter 1590: loss 1.4069, time 62.65ms, mfu 2.10%
iter 1600: loss 1.4108, time 62.90ms, mfu 2.09%
iter 1610: loss 1.3999, time 53.59ms, mfu 2.12%
iter 1620: loss 1.4064, time 62.39ms, mfu 2.10%
iter 1630: loss 1.3941, time 48.15ms, mfu 2.15%
iter 1640: loss 1.3913, time 61.78ms, mfu 2.14%
iter 1650: loss 1.4064, time 60.43ms, mfu 2.13%
iter 1660: loss 1.4205, time 61.71ms, mfu 2.12%
iter 1670: loss 1.4060, time 47.83ms, mfu 2.17%
iter 1680: loss 1.3959, time 56.46ms, mfu 2.17%
iter 1690: loss 1.3598, time 48.81ms, mfu 2.21%
iter 1700: loss 1.4255, time 48.71ms, mfu 2.25%
iter 1710: loss 1.3841, time 53.97ms, mfu 2.25%
iter 1720: loss 1.3984, time 56.24ms, mfu 2.25%
iter 1730: loss 1.3881, time 59.88ms, mfu 2.23%
iter 1740: loss 1.4088, time 48.20ms, mfu 2.27%
step 1750: train loss 1.2687, val loss 1.5318
saving checkpoint to out-shakespeare-md2
iter 1750: loss 1.3925, time 8104.64ms, mfu 2.04%
iter 1760: loss 1.3718, time 63.29ms, mfu 2.04%
iter 1770: loss 1.3816, time 56.11ms, mfu 2.05%
iter 1780: loss 1.3579, time 56.00ms, mfu 2.07%
iter 1790: loss 1.3775, time 60.67ms, mfu 2.07%
iter 1800: loss 1.3902, time 57.22ms, mfu 2.08%
iter 1810: loss 1.3809, time 53.19ms, mfu 2.11%
iter 1820: loss 1.3905, time 54.80ms, mfu 2.12%
iter 1830: loss 1.3604, time 47.63ms, mfu 2.17%
iter 1840: loss 1.3322, time 56.69ms, mfu 2.18%
iter 1850: loss 1.4073, time 63.79ms, mfu 2.15%
iter 1860: loss 1.4075, time 66.72ms, mfu 2.13%
iter 1870: loss 1.4019, time 59.66ms, mfu 2.12%
iter 1880: loss 1.3703, time 51.13ms, mfu 2.15%
iter 1890: loss 1.3969, time 54.45ms, mfu 2.17%
iter 1900: loss 1.3397, time 60.71ms, mfu 2.16%
iter 1910: loss 1.3713, time 50.67ms, mfu 2.19%
iter 1920: loss 1.4009, time 55.13ms, mfu 2.19%
iter 1930: loss 1.3798, time 50.78ms, mfu 2.22%
iter 1940: loss 1.3614, time 48.84ms, mfu 2.25%
iter 1950: loss 1.3632, time 62.74ms, mfu 2.23%
iter 1960: loss 1.3906, time 54.17ms, mfu 2.24%
iter 1970: loss 1.3805, time 48.45ms, mfu 2.27%
iter 1980: loss 1.3718, time 50.75ms, mfu 2.29%
iter 1990: loss 1.3670, time 65.37ms, mfu 2.25%
step 2000: train loss 1.2469, val loss 1.5296
saving checkpoint to out-shakespeare-md2
iter 2000: loss 1.3266, time 8143.57ms, mfu 2.03%
iter 2010: loss 1.3560, time 55.68ms, mfu 2.05%
iter 2020: loss 1.3411, time 56.62ms, mfu 2.06%
iter 2030: loss 1.3897, time 52.97ms, mfu 2.09%
iter 2040: loss 1.3760, time 58.83ms, mfu 2.10%
iter 2050: loss 1.3431, time 51.39ms, mfu 2.13%
iter 2060: loss 1.3524, time 60.02ms, mfu 2.12%
iter 2070: loss 1.3683, time 62.36ms, mfu 2.11%
iter 2080: loss 1.3080, time 55.39ms, mfu 2.13%
iter 2090: loss 1.3669, time 54.94ms, mfu 2.14%
iter 2100: loss 1.3465, time 52.02ms, mfu 2.17%
iter 2110: loss 1.3561, time 61.33ms, mfu 2.15%
iter 2120: loss 1.3599, time 56.45ms, mfu 2.16%
iter 2130: loss 1.3489, time 55.07ms, mfu 2.17%
iter 2140: loss 1.3514, time 58.10ms, mfu 2.17%
iter 2150: loss 1.3781, time 54.99ms, mfu 2.18%
iter 2160: loss 1.3309, time 56.44ms, mfu 2.18%
iter 2170: loss 1.3301, time 52.30ms, mfu 2.20%
iter 2180: loss 1.3320, time 62.07ms, mfu 2.18%
iter 2190: loss 1.3453, time 57.43ms, mfu 2.18%
iter 2200: loss 1.3493, time 53.51ms, mfu 2.20%
iter 2210: loss 1.3550, time 50.85ms, mfu 2.22%
iter 2220: loss 1.3598, time 48.89ms, mfu 2.25%
iter 2230: loss 1.3471, time 51.81ms, mfu 2.27%
iter 2240: loss 1.3416, time 64.65ms, mfu 2.24%
step 2250: train loss 1.2249, val loss 1.5225
saving checkpoint to out-shakespeare-md2
iter 2250: loss 1.3389, time 8185.51ms, mfu 2.01%
iter 2260: loss 1.3518, time 61.93ms, mfu 2.01%
iter 2270: loss 1.3389, time 61.99ms, mfu 2.01%
iter 2280: loss 1.3576, time 63.85ms, mfu 2.01%
iter 2290: loss 1.3394, time 65.40ms, mfu 2.00%
iter 2300: loss 1.3287, time 55.90ms, mfu 2.02%
iter 2310: loss 1.3325, time 53.39ms, mfu 2.05%
iter 2320: loss 1.3179, time 62.39ms, mfu 2.05%
iter 2330: loss 1.3235, time 48.05ms, mfu 2.10%
iter 2340: loss 1.3497, time 46.23ms, mfu 2.16%
iter 2350: loss 1.3410, time 60.05ms, mfu 2.15%
iter 2360: loss 1.3387, time 48.28ms, mfu 2.20%
iter 2370: loss 1.3243, time 61.39ms, mfu 2.18%
iter 2380: loss 1.3305, time 48.33ms, mfu 2.22%
iter 2390: loss 1.3100, time 45.66ms, mfu 2.27%
iter 2400: loss 1.3456, time 52.00ms, mfu 2.28%
iter 2410: loss 1.3301, time 59.35ms, mfu 2.27%
iter 2420: loss 1.3570, time 68.23ms, mfu 2.22%
iter 2430: loss 1.3543, time 63.72ms, mfu 2.20%
iter 2440: loss 1.3162, time 52.34ms, mfu 2.21%
iter 2450: loss 1.3551, time 49.62ms, mfu 2.24%
iter 2460: loss 1.2958, time 51.80ms, mfu 2.26%
iter 2470: loss 1.3258, time 50.99ms, mfu 2.28%
iter 2480: loss 1.3300, time 50.02ms, mfu 2.30%
iter 2490: loss 1.3336, time 51.00ms, mfu 2.32%
step 2500: train loss 1.2120, val loss 1.5184
saving checkpoint to out-shakespeare-md2
iter 2500: loss 1.3160, time 8147.52ms, mfu 2.09%
iter 2510: loss 1.2940, time 55.41ms, mfu 2.10%
iter 2520: loss 1.3067, time 54.47ms, mfu 2.12%
iter 2530: loss 1.3428, time 53.53ms, mfu 2.14%
iter 2540: loss 1.3439, time 63.29ms, mfu 2.12%
iter 2550: loss 1.3042, time 57.15ms, mfu 2.13%
iter 2560: loss 1.2821, time 49.06ms, mfu 2.17%
iter 2570: loss 1.3193, time 53.74ms, mfu 2.19%
iter 2580: loss 1.3456, time 55.83ms, mfu 2.19%
iter 2590: loss 1.2876, time 48.08ms, mfu 2.23%
iter 2600: loss 1.3139, time 54.21ms, mfu 2.24%
iter 2610: loss 1.3441, time 61.67ms, mfu 2.22%
iter 2620: loss 1.3044, time 60.78ms, mfu 2.20%
iter 2630: loss 1.3296, time 50.46ms, mfu 2.23%
iter 2640: loss 1.3105, time 58.91ms, mfu 2.22%
iter 2650: loss 1.3146, time 50.63ms, mfu 2.24%
iter 2660: loss 1.3129, time 47.88ms, mfu 2.28%
iter 2670: loss 1.3307, time 53.83ms, mfu 2.28%
iter 2680: loss 1.2974, time 59.32ms, mfu 2.26%
iter 2690: loss 1.3270, time 58.36ms, mfu 2.25%
iter 2700: loss 1.3271, time 51.93ms, mfu 2.27%
iter 2710: loss 1.3198, time 58.32ms, mfu 2.25%
iter 2720: loss 1.2941, time 61.61ms, mfu 2.23%
iter 2730: loss 1.3135, time 65.76ms, mfu 2.20%
iter 2740: loss 1.2869, time 48.44ms, mfu 2.24%
step 2750: train loss 1.1885, val loss 1.5040
saving checkpoint to out-shakespeare-md2
iter 2750: loss 1.2917, time 8047.27ms, mfu 2.01%
iter 2760: loss 1.3232, time 65.09ms, mfu 2.00%
iter 2770: loss 1.2987, time 69.29ms, mfu 1.98%
iter 2780: loss 1.2820, time 65.15ms, mfu 1.98%
iter 2790: loss 1.3191, time 60.13ms, mfu 1.99%
iter 2800: loss 1.2904, time 48.80ms, mfu 2.04%
iter 2810: loss 1.3023, time 62.16ms, mfu 2.04%
iter 2820: loss 1.2748, time 55.58ms, mfu 2.06%
iter 2830: loss 1.3094, time 61.84ms, mfu 2.06%
iter 2840: loss 1.2964, time 60.40ms, mfu 2.06%
iter 2850: loss 1.3357, time 61.62ms, mfu 2.05%
iter 2860: loss 1.3085, time 54.58ms, mfu 2.08%
iter 2870: loss 1.3355, time 56.10ms, mfu 2.09%
iter 2880: loss 1.2766, time 49.78ms, mfu 2.13%
iter 2890: loss 1.2881, time 52.34ms, mfu 2.16%
iter 2900: loss 1.3048, time 62.63ms, mfu 2.14%
iter 2910: loss 1.2950, time 54.20ms, mfu 2.16%
iter 2920: loss 1.2920, time 59.83ms, mfu 2.15%
iter 2930: loss 1.3128, time 56.58ms, mfu 2.16%
iter 2940: loss 1.2749, time 50.96ms, mfu 2.18%
iter 2950: loss 1.2766, time 53.82ms, mfu 2.20%
iter 2960: loss 1.2877, time 52.72ms, mfu 2.21%
iter 2970: loss 1.2732, time 59.66ms, mfu 2.20%
iter 2980: loss 1.2954, time 51.53ms, mfu 2.22%
iter 2990: loss 1.3176, time 48.91ms, mfu 2.26%
step 3000: train loss 1.1765, val loss 1.5007
saving checkpoint to out-shakespeare-md2
iter 3000: loss 1.3002, time 8214.53ms, mfu 2.03%
iter 3010: loss 1.2757, time 51.92ms, mfu 2.07%
iter 3020: loss 1.2805, time 66.56ms, mfu 2.05%
iter 3030: loss 1.3169, time 57.98ms, mfu 2.06%
iter 3040: loss 1.2851, time 57.31ms, mfu 2.07%
iter 3050: loss 1.2781, time 54.43ms, mfu 2.09%
iter 3060: loss 1.2958, time 51.52ms, mfu 2.13%
iter 3070: loss 1.2738, time 58.37ms, mfu 2.13%
iter 3080: loss 1.3136, time 64.52ms, mfu 2.11%
iter 3090: loss 1.2861, time 54.34ms, mfu 2.13%
iter 3100: loss 1.2836, time 50.34ms, mfu 2.16%
iter 3110: loss 1.2579, time 52.04ms, mfu 2.19%
iter 3120: loss 1.2679, time 52.21ms, mfu 2.21%
iter 3130: loss 1.2791, time 53.07ms, mfu 2.22%
iter 3140: loss 1.2802, time 46.66ms, mfu 2.27%
iter 3150: loss 1.3133, time 59.49ms, mfu 2.25%
iter 3160: loss 1.2950, time 56.98ms, mfu 2.24%
iter 3170: loss 1.2756, time 59.43ms, mfu 2.23%
iter 3180: loss 1.3111, time 36.51ms, mfu 2.35%
iter 3190: loss 1.3101, time 53.79ms, mfu 2.34%
iter 3200: loss 1.2821, time 52.55ms, mfu 2.35%
iter 3210: loss 1.2462, time 54.57ms, mfu 2.34%
iter 3220: loss 1.3129, time 58.45ms, mfu 2.32%
iter 3230: loss 1.2743, time 63.94ms, mfu 2.28%
iter 3240: loss 1.2670, time 53.73ms, mfu 2.29%
step 3250: train loss 1.1588, val loss 1.4951
saving checkpoint to out-shakespeare-md2
iter 3250: loss 1.2556, time 8199.35ms, mfu 2.06%
iter 3260: loss 1.3028, time 59.92ms, mfu 2.06%
iter 3270: loss 1.2687, time 53.95ms, mfu 2.09%
iter 3280: loss 1.2815, time 47.84ms, mfu 2.14%
iter 3290: loss 1.2505, time 61.43ms, mfu 2.13%
iter 3300: loss 1.2598, time 47.94ms, mfu 2.18%
iter 3310: loss 1.2712, time 69.20ms, mfu 2.14%
iter 3320: loss 1.2792, time 65.12ms, mfu 2.12%
iter 3330: loss 1.2881, time 55.73ms, mfu 2.13%
iter 3340: loss 1.2578, time 55.23ms, mfu 2.14%
iter 3350: loss 1.2949, time 53.72ms, mfu 2.16%
iter 3360: loss 1.2446, time 63.53ms, mfu 2.14%
iter 3370: loss 1.2725, time 49.64ms, mfu 2.18%
iter 3380: loss 1.2686, time 60.50ms, mfu 2.17%
iter 3390: loss 1.3021, time 66.44ms, mfu 2.14%
iter 3400: loss 1.2498, time 55.43ms, mfu 2.15%
iter 3410: loss 1.2664, time 58.96ms, mfu 2.14%
iter 3420: loss 1.2891, time 47.83ms, mfu 2.19%
iter 3430: loss 1.2578, time 61.47ms, mfu 2.18%
iter 3440: loss 1.2497, time 59.18ms, mfu 2.17%
iter 3450: loss 1.2830, time 52.55ms, mfu 2.19%
iter 3460: loss 1.2738, time 53.93ms, mfu 2.20%
iter 3470: loss 1.2382, time 51.64ms, mfu 2.22%
iter 3480: loss 1.2468, time 54.43ms, mfu 2.23%
iter 3490: loss 1.2590, time 59.18ms, mfu 2.22%
step 3500: train loss 1.1464, val loss 1.4863
saving checkpoint to out-shakespeare-md2
iter 3500: loss 1.2869, time 8182.41ms, mfu 2.00%
iter 3510: loss 1.2403, time 54.40ms, mfu 2.03%
iter 3520: loss 1.2546, time 63.14ms, mfu 2.02%
iter 3530: loss 1.2550, time 61.90ms, mfu 2.02%
iter 3540: loss 1.2472, time 66.13ms, mfu 2.01%
iter 3550: loss 1.2364, time 57.15ms, mfu 2.03%
iter 3560: loss 1.2366, time 54.05ms, mfu 2.05%
iter 3570: loss 1.2512, time 66.51ms, mfu 2.04%
iter 3580: loss 1.2691, time 47.86ms, mfu 2.09%
iter 3590: loss 1.2802, time 60.53ms, mfu 2.09%
iter 3600: loss 1.2795, time 61.75ms, mfu 2.08%
iter 3610: loss 1.2351, time 54.69ms, mfu 2.10%
iter 3620: loss 1.2612, time 59.60ms, mfu 2.10%
iter 3630: loss 1.2660, time 59.64ms, mfu 2.10%
iter 3640: loss 1.2252, time 61.30ms, mfu 2.09%
iter 3650: loss 1.2831, time 60.84ms, mfu 2.09%
iter 3660: loss 1.2901, time 54.67ms, mfu 2.11%
iter 3670: loss 1.2431, time 62.28ms, mfu 2.10%
iter 3680: loss 1.2663, time 48.13ms, mfu 2.15%
iter 3690: loss 1.2291, time 61.91ms, mfu 2.13%
iter 3700: loss 1.2718, time 41.65ms, mfu 2.22%
iter 3710: loss 1.2578, time 38.20ms, mfu 2.32%
iter 3720: loss 1.2806, time 39.95ms, mfu 2.40%
