Overriding config with config/train_shakespeare_char_md8.py:
# Experiment 4: High Model Depth
# Change: model depth n_layer 6 -> 8
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-md8'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'md8'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 8              # CHANGED: baseline was 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3      
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
iter 1000: loss 1.3132, time 26468.84ms, mfu 2.26%
iter 1010: loss 1.2876, time 204.49ms, mfu 2.27%
iter 1020: loss 1.3092, time 203.08ms, mfu 2.29%
iter 1030: loss 1.3027, time 189.44ms, mfu 2.32%
iter 1040: loss 1.3285, time 189.41ms, mfu 2.35%
iter 1050: loss 1.2906, time 201.12ms, mfu 2.36%
iter 1060: loss 1.3019, time 190.85ms, mfu 2.39%
iter 1070: loss 1.2860, time 192.32ms, mfu 2.41%
iter 1080: loss 1.2541, time 201.57ms, mfu 2.41%
iter 1090: loss 1.3066, time 197.84ms, mfu 2.42%
iter 1100: loss 1.3175, time 207.74ms, mfu 2.42%
iter 1110: loss 1.2591, time 201.50ms, mfu 2.42%
iter 1120: loss 1.2759, time 192.45ms, mfu 2.44%
iter 1130: loss 1.2841, time 198.78ms, mfu 2.45%
iter 1140: loss 1.2294, time 200.09ms, mfu 2.45%
iter 1150: loss 1.3069, time 201.55ms, mfu 2.45%
iter 1160: loss 1.2521, time 196.85ms, mfu 2.46%
iter 1170: loss 1.2877, time 196.61ms, mfu 2.46%
iter 1180: loss 1.2394, time 194.30ms, mfu 2.47%
iter 1190: loss 1.2463, time 201.94ms, mfu 2.47%
iter 1200: loss 1.2627, time 187.94ms, mfu 2.49%
iter 1210: loss 1.2441, time 207.84ms, mfu 2.48%
iter 1220: loss 1.2359, time 202.04ms, mfu 2.48%
iter 1230: loss 1.2504, time 187.10ms, mfu 2.49%
iter 1240: loss 1.2669, time 205.13ms, mfu 2.49%
step 1250: train loss 1.1693, val loss 1.4854
saving checkpoint to out-shakespeare-md8
iter 1250: loss 1.2274, time 27941.29ms, mfu 2.24%
iter 1260: loss 1.2371, time 216.66ms, mfu 2.25%
iter 1270: loss 1.2605, time 206.82ms, mfu 2.26%
iter 1280: loss 1.2251, time 197.48ms, mfu 2.29%
iter 1290: loss 1.2139, time 195.56ms, mfu 2.31%
iter 1300: loss 1.2415, time 210.52ms, mfu 2.32%
iter 1310: loss 1.2007, time 188.86ms, mfu 2.35%
iter 1320: loss 1.2310, time 202.46ms, mfu 2.36%
iter 1330: loss 1.2285, time 209.67ms, mfu 2.36%
iter 1340: loss 1.2295, time 206.18ms, mfu 2.36%
iter 1350: loss 1.1885, time 199.78ms, mfu 2.38%
iter 1360: loss 1.2245, time 188.12ms, mfu 2.40%
iter 1370: loss 1.2262, time 198.38ms, mfu 2.41%
iter 1380: loss 1.1897, time 196.15ms, mfu 2.42%
iter 1390: loss 1.1792, time 199.64ms, mfu 2.43%
iter 1400: loss 1.2132, time 198.71ms, mfu 2.44%
iter 1410: loss 1.2154, time 197.76ms, mfu 2.44%
iter 1420: loss 1.1907, time 199.52ms, mfu 2.45%
iter 1430: loss 1.1947, time 200.60ms, mfu 2.45%
iter 1440: loss 1.2107, time 198.66ms, mfu 2.46%
iter 1450: loss 1.2097, time 201.28ms, mfu 2.46%
iter 1460: loss 1.1875, time 204.07ms, mfu 2.46%
iter 1470: loss 1.2148, time 187.80ms, mfu 2.47%
iter 1480: loss 1.1949, time 197.97ms, mfu 2.48%
iter 1490: loss 1.1790, time 201.23ms, mfu 2.48%
step 1500: train loss 1.1059, val loss 1.4586
saving checkpoint to out-shakespeare-md8
iter 1500: loss 1.1892, time 26086.41ms, mfu 2.23%
iter 1510: loss 1.1559, time 212.65ms, mfu 2.24%
iter 1520: loss 1.1979, time 206.31ms, mfu 2.26%
iter 1530: loss 1.1361, time 209.55ms, mfu 2.27%
iter 1540: loss 1.1686, time 203.25ms, mfu 2.29%
iter 1550: loss 1.1910, time 186.93ms, mfu 2.32%
iter 1560: loss 1.1575, time 200.80ms, mfu 2.34%
iter 1570: loss 1.1583, time 197.97ms, mfu 2.36%
iter 1580: loss 1.1582, time 199.11ms, mfu 2.37%
iter 1590: loss 1.1529, time 204.93ms, mfu 2.37%
iter 1600: loss 1.1811, time 198.96ms, mfu 2.39%
iter 1610: loss 1.1025, time 201.16ms, mfu 2.39%
iter 1620: loss 1.1566, time 196.46ms, mfu 2.41%
iter 1630: loss 1.1528, time 185.70ms, mfu 2.43%
iter 1640: loss 1.1363, time 199.52ms, mfu 2.44%
iter 1650: loss 1.1398, time 199.50ms, mfu 2.45%
iter 1660: loss 1.1436, time 195.96ms, mfu 2.45%
iter 1670: loss 1.1521, time 199.37ms, mfu 2.46%
iter 1680: loss 1.1510, time 190.39ms, mfu 2.47%
iter 1690: loss 1.1536, time 207.06ms, mfu 2.47%
iter 1700: loss 1.1365, time 202.26ms, mfu 2.46%
iter 1710: loss 1.1521, time 192.99ms, mfu 2.48%
iter 1720: loss 1.1365, time 194.61ms, mfu 2.48%
iter 1730: loss 1.1483, time 195.35ms, mfu 2.49%
iter 1740: loss 1.1061, time 199.97ms, mfu 2.49%
step 1750: train loss 1.0470, val loss 1.4586
saving checkpoint to out-shakespeare-md8
iter 1750: loss 1.0827, time 28608.24ms, mfu 2.24%
iter 1760: loss 1.1173, time 206.93ms, mfu 2.26%
iter 1770: loss 1.1218, time 197.52ms, mfu 2.28%
iter 1780: loss 1.1333, time 199.34ms, mfu 2.30%
iter 1790: loss 1.1089, time 183.24ms, mfu 2.34%
iter 1800: loss 1.1211, time 200.77ms, mfu 2.36%
iter 1810: loss 1.0825, time 203.12ms, mfu 2.37%
iter 1820: loss 1.1381, time 192.88ms, mfu 2.39%
iter 1830: loss 1.0747, time 200.15ms, mfu 2.40%
iter 1840: loss 1.1039, time 199.90ms, mfu 2.40%
iter 1850: loss 1.1007, time 199.16ms, mfu 2.41%
iter 1860: loss 1.1242, time 197.54ms, mfu 2.42%
iter 1870: loss 1.1243, time 193.54ms, mfu 2.44%
iter 1880: loss 1.1028, time 196.34ms, mfu 2.45%
iter 1890: loss 1.1104, time 200.26ms, mfu 2.45%
iter 1900: loss 1.0914, time 194.19ms, mfu 2.46%
iter 1910: loss 1.0923, time 205.82ms, mfu 2.46%
